Host Name,Planet Letter,Planet Name,Discovery Method,Year of Discovery,Orbital Period (days),Planet Mass (Earth Mass),Planet Radius (Earth Radii),Planet Density (g/cm^3),Equilibrium Temperature (K),Insolation Flux (Earth Flux)
Kepler-1435,b,Kepler-1435 b,Transit,2016,4.45343281,0.566,0.86,4.89,,893.886
Kepler-1436,b,Kepler-1436 b,Transit,2016,9.705716,2.27,1.31,5.55,,772.079
Kepler-1437,b,Kepler-1437 b,Transit,2016,10.9295461,2.45,1.37,5.24,,307.398
Kepler-1438,b,Kepler-1438 b,Transit,2016,2.31942009,0.779,0.94,5.15,,
Kepler-1439,b,Kepler-1439 b,Transit,2016,8.07392849,2.73,1.46,4.82,,9.081
Kepler-144,b,Kepler-144 b,Transit,2014,5.885273,2.33,1.33,5.44,1287,426.719
Kepler-144,c,Kepler-144 c,Transit,2014,10.104665,2.39,1.35,5.34,1075,207.247
Kepler-1440,b,Kepler-1440 b,Transit,2016,39.859484,2.13,1.26,5.85,,44.728
Kepler-1441,b,Kepler-1441 b,Transit,2016,39.4419839,2.27,1.31,5.55,,33.046
Kepler-1442,b,Kepler-1442 b,Transit,2016,81.4162941,14.7,3.93,1.33,,25.972
Kepler-1443,b,Kepler-1443 b,Transit,2016,2.41811321,0.871,0.97,5.24,,2809.165
Kepler-1444,b,Kepler-1444 b,Transit,2016,33.42035034,5.39,2.18,2.86,,25.942
Kepler-1445,b,Kepler-1445 b,Transit,2016,10.60052251,0.84,0.96,5.22,,248.548
Kepler-1446,b,Kepler-1446 b,Transit,2016,0.68996783,0.477,0.82,4.75,,1213.333
Kepler-1447,b,Kepler-1447 b,Transit,2016,56.6747285,8.75,2.9,1.97,,10.349
Kepler-1448,b,Kepler-1448 b,Transit,2016,12.27065865,3.22,1.61,4.24,,86.645
Kepler-1449,b,Kepler-1449 b,Transit,2016,13.2274528,3.46,1.68,4.01,,271.885
Kepler-145,b,Kepler-145 b,Transit,2013,22.951,37.1,2.65,11,,154.705
